id,session_id,iki_variance,backspace_ratio,dwell_time,mouse_activity,app_switch_rate,fatigue_label
770,73251e5a,0.4193,0.0,0.1839,1766,46,8
771,73251e5a,0.0212,0.0,0.1071,1766,46,8
772,73251e5a,0.0161,0.0,0.1044,1766,46,8
773,73251e5a,0.0049,0.0,0.1097,1766,46,8
774,73251e5a,0.0924,0.0,0.1023,1766,46,8
775,73251e5a,1.2731,0.1,0.0966,1766,46,8
776,73251e5a,0.112,0.0,0.1016,1766,46,8
777,73251e5a,0.0618,0.0,0.1033,1766,46,8
778,73251e5a,0.0125,0.0,0.0988,1766,46,8
779,73251e5a,0.016,0.0,0.0984,1766,46,8
780,73251e5a,0.1129,0.0,0.0968,1766,46,8
781,73251e5a,167.9756,0.0,0.111,1766,46,8
782,73251e5a,0.0249,0.4,0.0991,1766,46,8
783,73251e5a,0.0311,0.2,0.0921,1766,46,8
784,73251e5a,0.016,0.0,0.1109,1766,46,8
785,73251e5a,0.0278,0.0,0.0943,1766,46,8
786,73251e5a,1.9055,0.0,0.1151,1766,46,8
787,73251e5a,0.035,0.0,0.0958,1766,46,8
788,73251e5a,0.0126,0.0,0.1008,1766,46,8
789,73251e5a,0.0059,0.0,0.0994,1766,46,8
790,73251e5a,0.0053,0.0,0.1107,1766,46,8
791,73251e5a,0.0104,0.0,0.094,1766,46,8
792,73251e5a,0.0312,0.0,0.0913,1766,46,8
793,73251e5a,0.0044,0.0,0.0983,1766,46,8
794,73251e5a,1240.0925,0.0,0.2024,1766,46,8
795,73251e5a,60.4681,0.0,0.1521,1766,46,8
796,73251e5a,0.008,0.0,0.1152,1766,46,8
797,73251e5a,0.0085,0.0,0.1208,1766,46,8
798,73251e5a,7.5541,0.0,0.1161,1766,46,8
799,73251e5a,0.1271,0.1,0.0972,1766,46,8
800,73251e5a,0.0099,0.0,0.0922,1766,46,8
801,73251e5a,0.0061,0.0,0.098,1766,46,8
802,73251e5a,0.0172,0.0,0.0976,1766,46,8
803,73251e5a,0.0104,0.0,0.1025,1766,46,8
804,73251e5a,0.0124,0.0,0.1191,1766,46,8
805,73251e5a,13.2164,0.0,0.1077,1766,46,8
806,73251e5a,0.0078,0.0,0.1072,1766,46,8
807,73251e5a,0.1185,0.0,0.0979,1766,46,8
808,73251e5a,0.0559,0.0,0.1021,1766,46,8
809,73251e5a,0.2882,0.0,0.1198,1766,46,8
810,73251e5a,0.0112,0.0,0.1044,1766,46,8
811,73251e5a,0.0172,0.0,0.091,1766,46,8
812,73251e5a,0.0209,0.1,0.0962,1766,46,8
813,73251e5a,0.0108,0.0,0.1064,1766,46,8
814,73251e5a,622.5601,0.3,0.1398,1766,46,8
